port_name,GID_0,value_import,value_export,freight_total,country,continent,lon,lat
Port Dover,CAN,61291.498019170795,4099.091653420742,65390.58967259154,Canada,North-America,-80.05899111955158,42.789594489307774
Port Elizabeth,ZAF,14536538.495748982,12047785.134572992,26584323.630321972,South Africa,Africa,25.657640959535527,-33.88728449977207
Port Esquivel,JAM,178784.63786867412,84147.23802240836,262931.87589108245,Jamaica,Caribbean,-77.12330164279032,17.89428356260946
Port Everglades,USA,16719990.759102011,4968970.376541879,21688961.135643892,U.S.A.,North-America,-80.11975930938434,26.07690210546159
Port Gentil,GAB,482311.8204235362,636399.4716435566,1118711.2920670928,Gabon,Africa,8.776975588580745,-0.6823206460069766
Port Giles,AUS,0.21794102570432736,13.198889704469885,13.416830730174212,Australia,Australia,137.762764245939,-35.02178421016523
Port Harcourt,NGA,1077771.9729360307,1587057.0090571744,2664828.981993205,Nigeria,Africa,6.99797699991973,4.76887446544399
Port Hedland,AUS,3553813.87939199,44691743.07838839,48245556.95778038,Australia,Australia,118.57433281979462,-20.319231833534754
Port Hueneme,USA,20163961.89262512,693777.3977256918,20857739.29035081,U.S.A.,North-America,-119.20796208857706,34.14751530929664
Port Jerome,FRA,1779.3945963542328,9438.355777728517,11217.750374082749,France,Western-Europe,0.5257859640727421,49.4804454619153
Port Kembla,AUS,9186657.62355076,2989101.698863088,12175759.322413847,Australia,Australia,150.89535715765373,-34.46341259218796
Port Klang,MYS,45546943.6467013,49856482.94923936,95403426.59594065,Malaysia,Asia,101.33786795899505,2.9687730906234964
Port Lavaca,USA,804983.7851501249,2664705.610937273,3469689.396087398,U.S.A.,North-America,-96.5657574384083,28.597636786986293
Port Lincoln,AUS,264234.566594358,518460.562309439,782695.128903797,Australia,Australia,135.87947263161112,-34.71130548377954
Port Louis,MUS,3338254.3032261757,2042867.396240798,5381121.699466974,Mauritius,Africa,57.49066667294491,-20.15081047270573
Port Lyttelton,NZL,3821400.4056879077,3237495.5262120306,7058895.931899939,New Zealand,Oceania,172.75160251834097,-43.613789813710525
Port Manatee,USA,1506782.8753342042,383643.1422600295,1890426.0175942336,U.S.A.,North-America,-82.56219800944218,27.632412125554378
Port Methanier,DZA,3792560.2839378864,4341220.224558266,8133780.508496152,Algeria,Africa,6.9253220150216155,36.887783245897836
Port Moresby,PNG,1271833.259654217,3751979.979986388,5023813.239640605,Papua New Guinea,Asia,147.07411104076945,-9.423551397010726
Port Nador,MAR,598486.8699313318,525895.4669900809,1124382.3369214127,Morocco,Africa,-2.9241338850329135,35.28268157994262
Port Noro,SLB,120749.8413357926,546228.6972131003,666978.5385488928,Solomon Islands,Oceania,157.19517992565505,-8.222318371998911
Port Owendo,GAB,1737800.8396914138,3563239.9460254004,5301040.785716814,Gabon,Africa,9.501986404451827,0.28543137652424566
Port Pirie,AUS,212220.77765288853,135321.5603331622,347542.33798605076,Australia,Australia,138.01408002438748,-33.18166346916647
Port Saint Louis Du Rhone,FRA,14503983.022755433,18133192.099410575,32637175.122166008,France,Mediterranean,4.834539694268173,43.400136189499584
Port Sudan,SDN,6300991.69614506,2117432.0936028725,8418423.789747931,Sudan,Africa,37.23451752102427,19.60052907433223
Port Taman,RUS,1230225.2492036668,2761626.1474344847,3991851.3966381513,Russia,Eastern-Europe,36.65675081570091,45.124742084401035
Port Vale Knights,CPV,4561.199614864789,854.9442980662875,5416.143912931077,Cape Verde,Africa,-24.50349320387855,14.916292569841724
Port Vila,VUT,134626.74917024878,63110.48401911459,197737.23318936338,Vanuatu,Oceania,168.30812239143125,-17.745488492714415
Port Walcott,AUS,79837.68843536776,15940589.424051914,16020427.112487283,Australia,Australia,117.19289148944216,-20.58398247919086
Port of Can Tho,VNM,799.9396228085628,1162.4369891891406,1962.3766119977035,Vietnam,Asia,105.70621823080667,10.117555931293095
Port of Duqm,OMN,783073.1154960576,2385334.558508787,3168407.6740048444,Oman,Middle-East,57.71766408761913,19.66593414252358
Port of Le Havre,FRA,54823800.27037097,46086084.441412315,100909884.71178329,France,Western-Europe,0.2064885692509137,49.47676016757659
Port of Rouen,FRA,4079858.248342095,13358443.47580029,17438301.724142388,France,Western-Europe,1.0438652992514468,49.41036017642602
Port of Sohar,OMN,9316785.20947475,12077333.983701253,21394119.193176,Oman,Middle-East,56.62436480522956,24.511952594430614
Port of Spain,TTO,2115177.8497201544,322541.7318771296,2437719.581597284,Trinidad and Tobago,Caribbean,-61.512282841033354,10.64442125139589
Port-De-Bouc,FRA,3613622.740624427,3525349.3941120063,7138972.134736434,France,Mediterranean,4.994195168762764,43.39912032434849
Port-La-Nouvelle,FRA,64885.80222077047,64301.494856871315,129187.2970776418,France,Mediterranean,3.0653922011451713,43.02033249594531
Portland,AUS,855016.1342356406,424736.43139961077,1279752.5656352513,Australia,Australia,141.6197491610887,-38.351105274871614
Portland,USA,8057860.623333112,8353669.942608458,16411530.56594157,U.S.A.,North-America,-122.75400648102332,45.61095815828722
Portland Harbour,GBR,1632753.099107786,927583.364044195,2560336.463151981,United Kingdom,Western-Europe,-2.424161270184115,50.57463397207654
"Portland, ME",USA,1064493.7285518788,71911.09892367643,1136404.8274755552,U.S.A.,North-America,-70.26072094565555,43.64466622633021
Portmouth,USA,450973.43095144694,111308.66881517512,562282.0997666221,U.S.A.,North-America,-70.76785761027149,43.09650074819838
Porto Alegre,BRA,276019.80779979395,692566.3773886132,968586.1851884071,Brazil,Latin-America,-51.25006903836763,-30.025463759231478
Porto Da Praia,CPV,145707.6107457562,15651.927313178354,161359.53805893453,Cape Verde,Africa,-23.500282010395534,14.909608014719707
Porto De Leizoes,PRT,2316671.4345121137,3390696.7198721557,5707368.154384269,Portugal,Western-Europe,-8.690910132729416,41.18475247684799
Porto De Maceio,BRA,779982.1735175744,429225.56743155594,1209207.7409491304,Brazil,Latin-America,-35.74417000471505,-9.68734535028273
Porto De Mucuripe,BRA,2520674.470770663,776521.460884205,3297195.931654868,Brazil,Latin-America,-38.48117916924891,-3.7077745749667885
Porto De Suape,BRA,8287463.471118149,3027034.4399161413,11314497.91103429,Brazil,Latin-America,-34.96401675001696,-8.395392901641676
Porto Di Chioggia,ITA,367091.2987230517,398253.0193023689,765344.3180254207,Italy,Mediterranean,12.279121988142546,45.216826119002825
Porto Di Corsini,ITA,10567578.61912724,3874405.104519714,14441983.723646954,Italy,Mediterranean,12.265131334562827,44.46376476989217
Porto Di Lido-Venezia,ITA,7165540.024523927,6547478.433046823,13713018.45757075,Italy,Mediterranean,12.296789261646097,45.43708064710672
Porto Di Malamocco,ITA,1773987.0242762135,1077425.0164991764,2851412.04077539,Italy,Mediterranean,12.278507879902898,45.33295661753111
Porto Di Oristano,ITA,630162.8561090155,426935.19458290935,1057098.050691925,Italy,Mediterranean,8.554805924111513,39.863660141313645
Porto Di Palermo,ITA,223605.8767122543,485782.30597162613,709388.1826838804,Italy,Mediterranean,13.368417978607535,38.128839070973505
Porto Grande,CPV,308357.72402686946,53935.43680602165,362293.1608328911,Cape Verde,Africa,-25.005800885638582,16.886006712137018
Porto Pecem,BRA,2564196.588215857,1909984.7657830764,4474181.353998933,Brazil,Latin-America,-38.7993872365397,-3.52547311592703
Porto Torres,ITA,236969.08350390673,677252.8823104273,914221.965814334,Italy,Mediterranean,8.382910973473056,40.84325175766593
Portocel,BRA,203544.67427818166,2859755.4812534084,3063300.15553159,Brazil,Latin-America,-40.05852041250281,-19.84306780735141
Portovecchio Di Piombino,ITA,1072414.9123095928,410217.03358381934,1482631.9458934122,Italy,Mediterranean,10.547707783220982,42.933677604456165
Portsmouth Harbour,GBR,2125629.52751174,565392.6059541227,2691022.133465863,United Kingdom,Western-Europe,-1.1124968539249158,50.801018136820865
Porvoo,FIN,2964127.1503202287,2950043.077955165,5914170.228275394,Finland,Northern-Europe,25.55797746258187,60.304495830361134
