lat,lon,ID,port_name,country,continent
5.859,-10.054,389,Buchanan,Liberia,Africa
30.423,-9.641,390,Agadir,Morocco,Africa
32.309,-9.247,391,Safi,Morocco,Africa
38.684,-9.132,392,Lisboa,Portugal,Western-Europe
52.621,-9.081,393,Foynes,Ireland,Western-Europe
53.264,-9.046,394,Galway,Ireland,Western-Europe
37.941,-8.86,395,Sines,Portugal,Western-Europe
40.145,-8.856,396,Figueira Da Foz,Portugal,Western-Europe
38.491,-8.849,397,Setubal,Portugal,Western-Europe
42.598,-8.774,398,Villagarcia De Arosa,Spain,Western-Europe
42.238,-8.726,399,Vigo,Spain,Western-Europe
40.646,-8.711,400,Aveiro,Portugal,Western-Europe
42.399,-8.697,401,Marin,Spain,Western-Europe
41.185,-8.691,402,Porto De Leizoes,Portugal,Western-Europe
52.66,-8.642,403,Limerick,Ireland,Western-Europe
33.127,-8.629,404,El Jorf Lasfar,Morocco,Africa
37.124,-8.526,405,Lagos,Portugal,Western-Europe
43.353,-8.442,406,La Coruna,Spain,Western-Europe
51.862,-8.331,407,Cork,Ireland,Western-Europe
43.472,-8.222,408,Ferrol,Spain,Western-Europe
33.61,-7.599,409,Casablanca,Morocco,Africa
33.722,-7.39,410,Mohammedia,Morocco,Africa
55.045,-7.248,411,Londonderry,United Kingdom,Western-Europe
52.265,-7.025,412,Waterford,Ireland,Western-Europe
37.163,-6.886,413,Huelva,Spain,Western-Europe
4.745,-6.616,414,San Pedro,Cote d'Ivoire,Africa
53.719,-6.32,415,Drogheda,Ireland,Western-Europe
36.519,-6.265,416,Cadiz,Spain,Western-Europe
54.098,-6.259,417,Warren Point,Ireland,Western-Europe
53.345,-6.205,418,Dublin,Ireland,Western-Europe
37.338,-5.997,419,Sevilla,Spain,Western-Europe
43.578,-5.922,420,Aviles,Spain,Western-Europe
54.621,-5.89,421,Belfast,United Kingdom,Western-Europe
43.562,-5.685,422,Gijon,Spain,Western-Europe
35.88,-5.517,423,Tangier-Mediterranean,Morocco,Africa
36.157,-5.419,424,Algeciras,Spain,Mediterranean
36.138,-5.358,425,Europa Point,Gibraltar,Mediterranean
35.894,-5.313,426,Cueta,Spain,Western-Europe
50.155,-5.055,427,Falmouth Harbour,United Kingdom,Western-Europe
51.697,-5.02,428,Milford Haven,United Kingdom,Western-Europe
56.112,-4.843,429,Finnart Oil Terminal,United Kingdom,Western-Europe
48.375,-4.49,430,Rade De Brest,France,Western-Europe
36.709,-4.422,431,Malaga,Spain,Mediterranean
55.87,-4.341,432,Glasgow,United Kingdom,Western-Europe
57.493,-4.237,433,Iverness,United Kingdom,Western-Europe
50.361,-4.16,434,Plymouth,United Kingdom,Western-Europe
5.281,-4.021,435,Abidjan,Cote d'Ivoire,Africa
43.437,-3.801,436,Santander,Spain,Western-Europe
56.03,-3.685,437,Grangemouth,United Kingdom,Western-Europe
54.651,-3.568,438,Workington,United Kingdom,Western-Europe
36.719,-3.52,439,Motril,Spain,Mediterranean
47.732,-3.344,440,Lorient,France,Western-Europe
51.399,-3.26,441,Barry,United Kingdom,Western-Europe
55.984,-3.176,442,Leith,United Kingdom,Western-Europe
51.455,-3.158,443,Cardiff,United Kingdom,Western-Europe
43.354,-3.051,444,Puerto De Bilbao,Spain,Western-Europe
